AircraftCode;Names;AirlineEquipCode
100;Fokker 100;F100
141;BAE Systems 146-100 Passenger;B461
142;BAE Systems 146-200 Passenger;B462
143;BAE Systems 146-300 Passenger;B463
14X;BAE Systems 146-100 Freighter;B461
14Y;BAE Systems 146-200 Freighter;B462
14Z;BAE Systems 146-300 Freighter;B463
221;Airbus A220-100;BCS1
223;Airbus A220-300;BCS3
290;E190-E2;E290
295;E195-E2;E295
312;Airbus A310-200 Passenger;A310
313;Airbus A310-300 Passenger;A310
318;Airbus A318;A318
319;Airbus A319;A319
31A;Airbus A318 (sharklets);A318
31B;Airbus A319 (sharklets);A319
31N;Airbus A139neo;A19N
31X;Airbus A310-200 Freighter;A310
31Y;Airbus A310-300 Freighter;A310
320;Airbus A320;A320
321;Airbus A321;A321
32A;Airbus A320 (sharklets);A320
32B;Airbus A321 (sharklets);A321
32F;Airbus A320 Freighter;A320
32N;Airbus A320neo;A20N
32Q;Airbus A321neo;A21N
32X;Airbus A321 Freighter;A321
332;Airbus A330-200;A332
333;Airbus A330-300;A333
33X;Airbus A330-200 Freighter;A332
342;Airbus A340-200;A342
343;Airbus A340-300;A343
345;Airbus A340-500;A345
346;Airbus A340-600;A346
351;Airbus A350-1000;ZZZZ
358;Airbus A350-800;ZZZZ
359;Airbus A350-900;A359
388;Airbus A380-800 Passenger;A388
38F;Airbus A380-800F Freighter;A388
703;Boeing 707-320B / 320C Passenger;B703
70F;Boeing 707-320B / 320C Freighter;B703
70M;Boeing 707-320B / 320C Mixed Configuration;B703
717;Boeing 717-200;B712
721;Boeing 727-100 Passenger;B721
722;Boeing 727-200 Passenger;B722
72B;Boeing 727-100 Mixed Configuration;B721
72C;Boeing 727-200 Mixed Configuration;B722
72W;Boeing 727-200 (winglets) Passenger;B722
72X;Boeing 727-100 Freighter;B721
72Y;Boeing 727-200 Freighter;B722
731;Boeing 737-100 Passenger;B731
732;Boeing 737-200 Passenger;B732
733;Boeing 737-300 Passenger;B733
734;Boeing 737-400 Passenger;B734
735;Boeing 737-500 Passenger;B735
736;Boeing 737-600 Passenger;B736
738;Boeing 737-800 Passenger;B738
739;Boeing 737-900 Passenger;B739
73C;Boeing 737-300 (winglets) Passenger;B733
73E;Boeing 737-500 (winglets) Passenger;B735
73G;Boeing 737-700 Passenger;B737
73H;Boeing 737-800 (winglets) Passenger/BBJ2;B738
73J;Boeing 737-900 (winglets) Passenger/BBJ3;B739
73L;Boeing 737-200 Mixed Configuration;B732
73N;Boeing 737-300 Mixed Configuration;B733
73P;Boeing 737-400 Freighter;B734
73Q;Boeing 737-400 Mixed Configuration;B734
73R;Boeing 737-700 Mixed Configuration/BBJC;B737
73S;Boeing 737-700 Freighter;B737
73W;Boeing 737-700 (winglets) Passenger/BBJ1;B737
73X;Boeing 737-200 Freighter;B732
73Y;Boeing 737-300 Freighter;B733
741;Boeing 747-100 Passenger;B741
742;Boeing 747-200 Passenger;B742
743;Boeing 747-300 / 747-100/200 SUD Passenger;B743
744;Boeing 747-400 Passenger;B744
748;;
74C;Boeing 747-200 Mixed Configuration;B742
74D;Boeing 747-300 / 747-200 SUD Mixed Configuration;B743
74E;Boeing 747-400 Mixed Configuration;B744
74H;Boeing 747-8 Passenger;B748
74J;Boeing 747-400 (Domestic) Passenger;B74D
74L;Boeing 747SP Passenger;B74S
74N;Boeing 747-8F Freighter;B748
74R;Boeing 747SR Passenger;B74R
74T;Boeing 747-100 Freighter;B741
74U;Boeing 747-300 / 747-200 SUD Freighter;B743
74V;Boeing 747SR Freighter;B74R
74X;Boeing 747-200 Freighter;B742
74Y;Boeing 747-400 Freighter;B744
752;Boeing 757-200 Passenger;B752
753;Boeing 757-300 Passenger;B753
75F;Boeing 757-200 Freighter;B752
75M;Boeing 757-200 Mixed Configuration;B752
75T;Boeing 757-300 (winglets) Passenger;B753
75W;Boeing 757-200 (winglets) Passenger;B752
762;Boeing 767-200 Passenger;B762
763;Boeing 767-300 Passenger;B763
76V;Boeing 767-300 (winglets) Freighter;B763
76W;Boeing 767-300 (winglets) Passenger;B763
76X;Boeing 767-200 Freighter;B762
76Y;Boeing 767-300 Freighter;B763
772;Boeing 777-200/ 200ER;B77L
773;Boeing 777-300;B773
779;Boeing 777-900;B779
77F;Boeing 777 Freighter;B77F
77L;Boeing 777-200LR;B772
77W;Boeing 777-300ER;B77W
77X;Boeing 777-200F Freighter;B772
783;Boeing 787-3;B783
788;Boeing 787-8;B788
789;Boeing 787-9;B789
A22;Antonov An-22;AN22
A26;Antonov An-26;AN26
A28;Antonov An-28 / PZL Mielec M-28 Skytruck;AN28
A30;Antonov An-30;AN30
A32;Antonov An-32;AN32
A38;Antonov An-38;AN38
A40;Antonov An-140;A140
A4F;Antonov An-124 Ruslan;A124
A58;Antonov An-158;ZZZZ
A5F;Antonov An-225;A225
A81;Antonov AN148-100;A148
AB4;Airbus A300B2 / A300B4 Passenger;A30B
AB6;Airbus A300-600 Passenger;A306
ABB;Airbus A300-600ST Beluga Freighter;A3ST
ABX;Airbus A300B4 / A300C4 / A300F4 Freighter;A30B
ABY;Airbus A300-600 Freighter;A306
ACP;Twin Commander Aircraft;*
ACT;Twin (Aero) Turbo Commander / Jetprop Commander;*
AGH;AgustaWestland A109;A109
AN4;Antonov An-24;AN24
AN7;Antonov An-72 / An-74;AN72
ANF;Antonov An-12;AN12
APF;BAE Systems  ATP Freighter;ZZZZ
APH;Eurocopter (Aerospatiale) SA330 Puma / AS332 Super Puma;*
AR1;Avro RJ100;RJ1H
AR7;Avro RJ70;RJ70
AR8;Avro RJ85;RJ85
AT4;ATR 42-300 / 320;AT43
AT7;ATR 72;AT72
ATF;ATR 72 Freighter;AT72
ATP;BAE Systems  ATP;ATP
ATZ;ATR 42 Freighter;*
AWH;AgustaWestland AW139;A139
AWZ;Augusta Westland 200;*
B12;BAE Systems (BAC) One-Eleven 200;BA11
B13;BAE Systems (BAC) One-Eleven 300;BA11
B14;BAE Systems (BAC) One-Eleven 400 / 475;BA11
B15;BAE Systems (BAC) One-Eleven 500 / RomBac One-Eleven 560;BA11
B72;Boeing 720-020B;B720
BE2;Hawker Beechcraft (Light aircraft-twin piston engines);*
BE4;Hawker 400 Beechjet/400A/400XP/400T;BE40
BE9;Hawker Beechcraft C99 Airliner;BE99
BEF;Hawker Beechcraft 1900 Freighter;B190
BEH;Hawker Beechcraft 1900D Airliner;B190
BEP;Hawker Beechcraft (Light aircraft-single piston engine);*
BES;Hawker Beechcraft 1900C Airliner;B190
BET;Hawker Beechcraft (Light aircraft-twin turboprop engines);*
BH2;Bell (Helicopters);*
BNI;Britten-Norman BN-2A / BN-2B Islander;BN2P
BNT;Britten-Norman BN-2A Mk.III Trislander;TRIS
BTA;Business Turbo-Prop Aircraft;ZZZZ
BUS;Bus;0000
C27;Comac ARJ21-700;AJ27
CCJ;Canadair (Bombardier) CL-600 / 601 / 604 / 605 Challenger;CL60
CCX;Bombardier BD-700 Global Express/Global 500;GLEX
CD2;Gippsland Aeronautics N22B / N24A Nomad;NOMA
CJ1;Cessna 500/ 501/ 525 Citation;*
CJ2;Cessna 550/ 551/ 552 Citation;*
CJ5;Cessna 560 Citation;*
CJ6;Cessna 650 Citation;*
CJ8;Cessna 680 Citation;*
CJL;Cessna 560 XL/XLS Citation;*
CJM;Cessna 510 Mustang Citation;C510
CJX;Cessna 750 Citation X;C750
CL3;Bombardier Challenger 300;CL30
CN1;Cessna (Light aircraft-single piston engine);*
CN2;Cessna (Light aircraft-twin piston engines);*
CNC;Cessna (Light aircraft-single turboprop engine);*
CNF;Cessna 208B Freighter;*
CNJ;Cessna Citation;*
CNT;Cessna (Light aircraft-twin turboprop engines);*
CR1;Canadair (Bombardier) Regional Jet 100;CRJ1
CR2;Canadair (Bombardier) Regional Jet 200;CRJ2
CR7;Canadair (Bombardier) Regional Jet 700 and Challenger 870;CRJ7
CR9;Canadair (Bombardier) Regional Jet 900 and Challenger 890;CRJ9
CRA;Canadair (Bombardier) Regional Jet 705;CRJ9
CRF;Canadair (Bombardier) Regional Jet Freighter;ZZZZ
CRK;Canadair (Bombardier) Regional Jet 1000;CRJX
CS2;CASA / lAe 212 Aviocar;C212
CS5;CASA / lAe CN-235;CN35
CS9;CASA / lAe C-295;C295
CV2;Convair 240 Passenger;CVLP
CV4;Convair 440 Metropolitan Passenger;CVLP
CV5;Convair 580 Passenger;CVLT
CVV;Convair 240 Freighter;CVLP
CVX;Convair 340 / 440 Freighter;CVLP
CVY;Convair 580 / 5800 / 600 / 640 Freighter;CVLT
CWC;Curtiss C-46 Commando;C46
D11;Boeing (Douglas) DC-10-10 / 15 Passenger;DC10
D1C;Boeing (Douglas) DC-10-30 / 40 Passenger;DC10
D1M;Boeing (Douglas) DC-10-30 Mixed Configuration;DC10
D1X;Boeing (Douglas) DC-10-10 Freighter;DC10
D1Y;Boeing (Douglas) DC-10-30 / 40 Freighter;DC10
D20;Dassault Falcon 2000/2000DX;F2TH
D28;Fairchild Dornier 228;D228
D2L;Dassault Falcon 2000EX/EASY/LX;F2TH
D38;Fairchild Dornier 328-100;D328
D3F;Boeing (Douglas) DC-3 Freighter;DC3
D42;Diamond Aircraft DA42 Twin Star;DA42
D4X;De Havilland (Bombardier) DHC-8-400 Dash 8Q Freighter;DH8D
D6F;Boeing (Douglas) DC-6A / DC-6B / DC-6C Freighter;DC6
D8L;Boeing (Douglas) DC-8-62 Passenger;DC86
D8M;Boeing (Douglas) DC-8-62 Mixed Configuration;DC86
D8Q;Boeing (Douglas) DC-8-72 Passenger;DC87
D8T;Boeing (Douglas) DC-8-50 Freighter;DC85
D8X;Boeing (Douglas) DC-8-61 / 62 / 63 Freighter;DC86
D8Y;Boeing (Douglas) DC-8-71 / 72 / 73 Freighter;DC87
D91;Boeing (Douglas) DC-9-10 Passenger;DC91
D92;Boeing (Douglas) DC-9-20 Passenger;DC92
D93;Boeing (Douglas) DC-9-30 Passenger;DC93
D94;Boeing (Douglas) DC-9-40 Passenger;DC94
D95;Boeing (Douglas) DC-9-50 Passenger;DC95
D9C;Boeing (Douglas) DC-9-30 Freighter;DC93
D9D;Boeing (Douglas) DC-9-40 Freighter;DC94
D9L;Dassault Falcon 900LX;F900
D9X;Boeing (Douglas) DC-9-10 Freighter;DC91
DC3;Boeing (Douglas) DC-3 Passenger;DC3
DC4;Boeing (Douglas) DC-4;DC4
DC6;Boeing (Douglas) DC-6B Passenger;DC6
DF1;Dassault Falcon 10 / 100;FA10
DF2;Dassault Falcon 20 / 200;FA20
DF5;Dassault Falcon 50 / 50EX;FA50
DF7;Dassault Falcon 7X;FA7X
DF9;Dassault Falcon 900/900B/900C/900DX/900EX/EASY;F900
DH1;De Havilland (Bombardier) DHC-8-100 Dash 8 / 8Q;DH8A
DH2;De Havilland (Bombardier) DHC-8-200 Dash 8 / 8Q;DH8B
DH3;De Havilland (Bombardier) DHC-8-300 Dash 8 / 8Q;DH8C
DH4;De Havilland (Bombardier) DHC-8-400 Dash 8Q;DH8D
DH7;De Havilland (Bombardier) DHC-7 Dash 7;DHC7
DHC;De Havilland (Bombardier) DHC-4 Caribou;DHC4
DHD;BAE Systems (De Havilland) 104 Dove;DOVE
DHF;De Havilland (Bombardier) DHC-8 Freighter;0000
DHH;BAE Systems (De Havilland) 114 Heron;HERN
DHL;De Havilland (Bombardier) DHC-3 Turbo Otter;DH3T
DHP;De Havilland (Bombardier) DHC-2 Beaver;DHC2
DHR;De Havilland (Bombardier) DHC-2 Turbo Beaver;DH2T
DHS;De Havilland (Bombardier) DHC-3 Otter;DHC3
DHT;De Havilland (Bombardier) DHC-6 Twin Otter;DHC6
E70;Embraer 170;E170
E75;Embraer 175;E170
E90;Embraer 190;E190
E95;Embraer 195 and Legacy 1000;E190
EA5;Eclipse 500;EA50
EC3;Eurocopter EC130;EC30
EC5;Eurocopter EC155;EC55
EM2;Embraer 120 Brasilia;E120
EMB;Embraer 110 Bandeirante;E110
EP1;Embraer EMB-500 Phenom 100;E50P
EP3;Embraer EMB-505 Phenom 300;E55P
ER3;Embraer RJ135 and Legacy 600/650;E135
ER4;Embraer RJ145;E145
ERD;Embraer RJ140;E135
F21;Fokker F28 Fellowship 1000;F28
F22;Fokker F28 Fellowship 2000;F28
F23;Fokker F28 Fellowship 3000;F28
F24;Fokker F28 Fellowship 4000;F28
F27;Fokker F27 Friendship / Fairchild Industries F-27;F27
F50;Fokker 50;F50
F5F;Fokker 50 Freighter;F50
F70;Fokker 70;F70
FK7;Fairchild Industries FH-227;F27
FRJ;Fairchild Dornier 328JET;J328
G2B;Gulfstream Aerospace G-1159 Gulfstream IIB;GLF2
G2S;Gulfstream Aerospace G-1159 Gulfstream IISP;GLF2
GA8;Gippsland Aeronautics GA8 Airvan;GA8
GJ2;Gulfstream Aerospace G-1159 Gulfstream II;GLF2
GJ3;Gulfstream Aerospace G-1159A Gulfstream III;GLF3
GJ4;Gulfstream Aerospace IV (G300/G350/G400/G450/IVSP);GLF4
GJ5;Gulfstream Aerospace V (G500/G550);GLF5
GJ6;Gulfstream Aerospace G650;GLF6
GR1;Gulfstream Aerospace G-100/G-150 (Astra SPX);G150
GR2;Gulfstream Aerospace G-200 (Galaxy);GALX
GR3;Gulfstream Aerospace G-280;G280
GRG;Grumman G-21 Goose (Amphibian);G21
GRM;Grumman G-73 Turbo Mallard (Amphibian);G73T
H20;Hawker 200;PRM1
H21;Hawker 1000;H25C
H24;Hawker 4000;HA4T
H25;Hawker 750/800/800XP/800SP;H25B
H28;Hawker 850XP/900;H25B
H29;Hawker 900XP;H25B
HEC;Helio H-250 Courier / H-295 / 395 Super Courier;COUR
HOV;Surface Equipment-Hovercraft;0000
HS7;BAE Systems (Hawker Siddeley) 748 / Andover;A748
I14;Ilyushin Il-114;I114
I9F;Ilyushin Il-96 Freighter;IL96
IL6;Ilyushin Il-62;IL62
IL7;Ilyushin Il-76;IL76
IL8;Ilyushin Il-18;IL18
IL9;Ilyushin Il-96 Passenger;IL96
ILW;Ilyushin Il-86;IL86
J31;BAE Systems Jetstream 31;JS31
J32;BAE Systems Jetstream 32;JS32
J41;BAE Systems Jetstream 41;JS41
JU5;Junkers Ju 52/3m;JU52
L11;Lockheed Martin L-1011 TriStar 1 / 50 / 100 / 150 / 200 / 250 Passenger;L101
L15;Lockheed Martin L-1011 TriStar 500 Passenger;L101
L1F;Lockheed Martin L-1011 TriStar Freighter;L101
L4F;Aircraft Industries (LET) 410 Freighter;L410
L4T;Aircraft Industries (LET) 410;L410
LCH;Surface Equipment-Launch / Boat;0000
LJA;Light Jet Aircraft;ZZZZ
LMO;Surface Equipment-Limousine;0000
LOE;Lockheed Martin L-188 Electra;L188
LOF;Lockheed Martin L-188 Electra Freighter;L188
LOH;Lockheed Martin L-182 / L-282 / L-382 (L-100) Hercules;C130
LRJ;Learjet;*
M11;Boeing (Douglas) MD-11 Passenger;MD11
M1F;Boeing (Douglas) MD-11 Freighter;MD11
M1M;Boeing (Douglas) MD-11 Mixed Configuration;MD11
