CityCode;CountryCode;Names;UtcOffset;TimeZoneId
AAH;DE;Aachen;+01:00;Europe/Berlin
AAL;DK;Aalborg;+01:00;Europe/Copenhagen
AAQ;RU;Anapa;+03:00;Europe/Moscow
AAR;DK;Aarhus;+01:00;Europe/Copenhagen
ABC;ES;Albacete;+01:00;Europe/Madrid
ABZ;GB;Aberdeen;+00:00;Europe/London
ACH;CH;Altenrhein;+01:00;Europe/Zurich
ACI;GB;Alderney;+00:00;Europe/London
ACO;CH;Ascona;+01:00;Europe/Zurich
ACQ;ES;Estacion De Alicante;+01:00;Europe/Madrid
ADA;TR;Adana;+03:00;Europe/Istanbul
ADF;TR;Adiyaman;+03:00;Europe/Istanbul
ADX;GB;St Andrews;+00:00;Europe/London
AEI;ES;Algeciras;+01:00;Europe/Madrid
AER;RU;Sochi;+03:00;Europe/Moscow
AES;NO;Alesund;+01:00;Europe/Oslo
AFY;TR;Afyon;+03:00;Europe/Istanbul
AGE;DE;Wangerooge;+01:00;Europe/Berlin
AGF;FR;Agen;+01:00;Europe/Paris
AGH;SE;Angelholm/Helsingborg;+01:00;Europe/Stockholm
AGP;ES;Malaga;+01:00;Europe/Madrid
AGQ;GR;Agrinion;+02:00;Europe/Athens
AHO;IT;Alghero;+01:00;Europe/Rome
AHZ;FR;L'alpe-D'huez;+01:00;Europe/Paris
AJA;FR;Ajaccio;+01:00;Europe/Paris
AJI;TR;Agri;+03:00;Europe/Istanbul
AJR;SE;Arvidsjaur;+01:00;Europe/Stockholm
ALC;ES;Alicante;+01:00;Europe/Madrid
ALF;NO;Alta;+01:00;Europe/Oslo
ALL;IT;Albenga;+01:00;Europe/Rome
ALV;AD;Andorra La Vella;+01:00;Europe/Andorra
AMS;NL;Amsterdam;+01:00;Europe/Amsterdam
AMV;RU;Amderma;+03:00;Europe/Moscow
ANE;FR;Angers;+01:00;Europe/Paris
ANG;FR;Angouleme;+01:00;Europe/Paris
ANK;TR;Ankara;+03:00;Europe/Istanbul
ANR;BE;Antwerp;+01:00;Europe/Brussels
ANT;AT;St Anton;+01:00;Europe/Vienna
ANX;NO;Andenes;+01:00;Europe/Oslo
AOC;DE;Altenburg;+01:00;Europe/Berlin
AOE;TR;Eskisehir;+03:00;Europe/Istanbul
AOI;IT;Ancona;+01:00;Europe/Rome
AOK;GR;Karpathos;+02:00;Europe/Athens
AOT;IT;Aosta;+01:00;Europe/Rome
ARH;RU;Arkhangelsk;+03:00;Europe/Moscow
ARW;RO;Arad;+02:00;Europe/Bucharest
ASF;RU;Astrakhan;+04:00;Europe/Volgograd
ASR;TR;Kayseri;+03:00;Europe/Istanbul
ATH;GR;Athens;+02:00;Europe/Athens
AUF;FR;Auxerre;+01:00;Europe/Paris
AUR;FR;Aurillac;+01:00;Europe/Paris
AVB;IT;Aviano;+01:00;Europe/Rome
AVF;FR;Avoriaz;+01:00;Europe/Paris
AVJ;ES;Avila;+01:00;Europe/Madrid
AVN;FR;Avignon;+01:00;Europe/Paris
AVR;PT;Alverca;+00:00;Europe/Lisbon
AXD;GR;Alexandroupolis;+02:00;Europe/Athens
AYH;GB;Alconbury;+00:00;Europe/London
AYT;TR;Antalya;+03:00;Europe/Istanbul
BAE;FR;Barcelonnette;+01:00;Europe/Paris
BAL;TR;Batman;+03:00;Europe/Istanbul
BAO;RO;Baia Mare;+02:00;Europe/Bucharest
BAY;RO;Baia Mare;+02:00;Europe/Bucharest
BBF;ES;Estacion De Benidorm;+01:00;Europe/Madrid
BBH;DE;Stralsund;+01:00;Europe/Berlin
BBJ;DE;Bitburg;+01:00;Europe/Berlin
BBP;GB;Bembridge;+00:00;Europe/London
BBS;GB;Blackbushe;+00:00;Europe/London
BCM;RO;Bacau;+02:00;Europe/Bucharest
BCN;ES;Barcelona;+01:00;Europe/Madrid
BDM;TR;Bandirma;+03:00;Europe/Istanbul
BDS;IT;Brindisi;+01:00;Europe/Rome
BDU;NO;Bardufoss;+01:00;Europe/Oslo
BEB;GB;Benbecula;+00:00;Europe/London
BEG;RS;Belgrade;+01:00;Europe/Belgrade
BEQ;GB;Bury St Edmunds;+00:00;Europe/London
BER;DE;Berlin;+01:00;Europe/Berlin
BES;FR;Brest;+01:00;Europe/Paris
BEX;GB;Benson;+00:00;Europe/London
BFB;ES;Bilbao;+01:00;Europe/Madrid
BFE;DE;Bielefeld;+01:00;Europe/Berlin
BFS;GB;Belfast;+00:00;Europe/London
BGC;PT;Braganca;+00:00;Europe/Lisbon
BGG;TR;Bingol;+03:00;Europe/Istanbul
BGO;NO;Bergen;+01:00;Europe/Oslo
BGZ;PT;Braga;+00:00;Europe/Lisbon
BHX;GB;Birmingham;+00:00;Europe/London
BIA;FR;Bastia;+01:00;Europe/Paris
BIO;ES;Bilbao;+01:00;Europe/Madrid
BIQ;FR;Biarritz;+01:00;Europe/Paris
BJF;NO;Batsfjord;+01:00;Europe/Oslo
BJV;TR;Bodrum;+03:00;Europe/Istanbul
