FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
2A3533;XHJ;2023-05-27;09:39;2023-05-27;09:53;;T09;DP;Flight Departed;QKL;2023-05-27;10:15;2023-05-27;10:24;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
2A3535;XHJ;2023-05-27;11:39;;;;T09;NO;No Status;QKL;2023-05-27;12:15;;;;;NO;No Status;2A;3535;TRN;CD;Flight Cancelled
2A3537;XHJ;2023-05-27;13:39;2023-05-27;13:47;;T09;DP;Flight Departed;QKL;2023-05-27;14:15;2023-05-27;14:24;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
2A3539;XHJ;2023-05-27;15:39;2023-05-27;16:16;;T09;DP;Flight Departed;QKL;2023-05-27;16:15;2023-05-27;16:52;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
2A3541;XHJ;2023-05-27;17:39;2023-05-27;18:18;;T09;DP;Flight Departed;QKL;2023-05-27;18:15;2023-05-27;18:37;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
2A3543;XHJ;2023-05-27;19:39;2023-05-27;20:07;;T09;DP;Flight Departed;QKL;2023-05-27;20:15;2023-05-27;20:46;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
EN8053;INN;2023-05-27;14:45;2023-05-27;16:34;;;DP;Flight Departed;FRA;2023-05-27;15:50;2023-05-27;17:38;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
E65648;INN;2023-05-27;17:35;2023-05-27;17:35;;;DP;Flight Departed;PMI;2023-05-27;19:35;2023-05-27;19:33;;;LD;Flight Landed;E6;5648;31D;LD;Flight Landed
OS902;INN;2023-05-27;18:50;2023-05-27;18:42;;001;DP;Flight Departed;VIE;2023-05-27;19:50;2023-05-27;19:38;3;ARS;LD;Flight Landed;OS;902;E95;LD;Flight Landed
E64390;SZG;2023-05-27;08:10;2023-05-27;08:01;;;DP;Flight Departed;SKG;2023-05-27;11:05;2023-05-27;10:53;;;LD;Flight Landed;E6;4390;32A;LD;Flight Landed
EW9717;SZG;2023-05-27;09:05;2023-05-27;09:05;;;DP;Flight Departed;DUS;2023-05-27;10:20;2023-05-27;10:17;;B25;LD;Flight Landed;EW;9717;31D;LD;Flight Landed
LH1103;SZG;2023-05-27;10:50;2023-05-27;12:05;;004;DP;Flight Departed;FRA;2023-05-27;11:55;2023-05-27;13:07;1;Area A;LD;Flight Landed;LH;1103;319;LD;Flight Landed
E64370;SZG;2023-05-27;11:30;2023-05-27;11:58;;;DP;Flight Departed;RHO;2023-05-27;15:00;2023-05-27;15:34;1;;LD;Flight Landed;E6;4370;31D;LD;Flight Landed
E66821;SZG;2023-05-27;11:50;2023-05-27;11:52;;;DP;Flight Departed;PMI;2023-05-27;13:55;2023-05-27;13:52;;;LD;Flight Landed;E6;6821;31D;LD;Flight Landed
E64310;SZG;2023-05-27;13:45;2023-05-27;13:54;;;DP;Flight Departed;LCA;2023-05-27;18:00;2023-05-27;18:05;;;LD;Flight Landed;E6;4310;32A;LD;Flight Landed
LH1107;SZG;2023-05-27;18:30;2023-05-27;18:36;;010;DP;Flight Departed;FRA;2023-05-27;19:35;2023-05-27;19:36;1;Area A;LD;Flight Landed;LH;1107;319;LD;Flight Landed
EW7815;CTA;2023-05-27;09:35;2023-05-27;10:16;;007;DP;Flight Departed;HAM;2023-05-27;12:35;2023-05-27;13:05;1;;LD;Flight Landed;EW;7815;31D;LD;Flight Landed
LH307;CTA;2023-05-27;10:15;2023-05-27;10:29;;010;DP;Flight Departed;FRA;2023-05-27;12:55;2023-05-27;13:02;1;A14;LD;Flight Landed;LH;307;321;LD;Flight Landed
LH1907;CTA;2023-05-27;11:55;2023-05-27;11:58;;008;DP;Flight Departed;MUC;2023-05-27;14:05;2023-05-27;14:04;2;G30;LD;Flight Landed;LH;1907;32V;LD;Flight Landed
EW2819;CTA;2023-05-27;13:30;2023-05-27;13:58;;004;DP;Flight Departed;STR;2023-05-27;15:50;2023-05-27;16:08;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
SN3132;CTA;2023-05-27;14:45;2023-05-27;14:40;;;DP;Flight Departed;BRU;2023-05-27;17:35;2023-05-27;17:20;;;LD;Flight Landed;SN;3132;319;LD;Flight Landed
EW9815;CTA;2023-05-27;17:30;2023-05-27;17:35;;011;DP;Flight Departed;DUS;2023-05-27;20:20;2023-05-27;20:16;;B93;LD;Flight Landed;EW;9815;31B;LD;Flight Landed
OS490;CTA;2023-05-27;18:00;2023-05-27;18:17;;;DP;Flight Departed;VIE;2023-05-27;20:00;2023-05-27;20:22;3;ARS;LD;Flight Landed;OS;490;320;LD;Flight Landed
LH1909;CTA;2023-05-27;18:40;2023-05-27;19:41;;008;DP;Flight Departed;MUC;2023-05-27;20:50;2023-05-27;21:44;2;K30;LD;Flight Landed;LH;1909;321;LD;Flight Landed
EW4059;CTA;2023-05-27;19:30;2023-05-27;20:26;;012;DP;Flight Departed;DTM;2023-05-27;22:15;2023-05-27;23:03;;;LD;Flight Landed;EW;4059;320;LD;Flight Landed
LX397;CTA;2023-05-27;20:30;2023-05-27;20:57;;;DP;Flight Departed;ZRH;2023-05-27;22:40;2023-05-27;23:02;;;LD;Flight Landed;LX;397;32N;LD;Flight Landed
EW817;CTA;2023-05-27;21:40;2023-05-27;22:00;;008;DP;Flight Departed;CGN;2023-05-28;00:25;2023-05-28;00:45;1;C88;LD;Flight Landed;EW;817;32Z;LD;Flight Landed
CL1057;NTE;2023-05-27;18:35;2023-05-27;18:34;;046;DP;Flight Departed;FRA;2023-05-27;20:10;2023-05-27;20:02;1;Area A;LD;Flight Landed;CL;1057;E90;LD;Flight Landed
LH1541;SKP;2023-05-27;14:55;2023-05-27;15:13;;203;DP;Flight Departed;FRA;2023-05-27;17:35;2023-05-27;17:30;1;Area A;LD;Flight Landed;LH;1541;319;LD;Flight Landed
