FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH887;VNO;2023-05-27;13:50;2023-05-27;14:24;;A06;DP;Flight Departed;FRA;2023-05-27;15:05;2023-05-27;15:24;1;Area A;LD;Flight Landed;LH;887;32M;LD;Flight Landed
2L1341;VNO;2023-05-27;14:35;2023-05-27;14:39;;;DP;Flight Departed;ZRH;2023-05-27;16:00;2023-05-27;15:54;;;LD;Flight Landed;2L;1341;290;LD;Flight Landed
2A3433;QFB;2023-05-27;05:52;2023-05-27;05:55;;T01;DP;Flight Departed;KJR;2023-05-27;06:58;2023-05-27;06:59;;;LD;Flight Landed;2A;3433;TRN;LD;Flight Landed
2A3437;QFB;2023-05-27;07:53;2023-05-27;07:56;;T01;DP;Flight Departed;KJR;2023-05-27;08:58;2023-05-27;09:00;;;LD;Flight Landed;2A;3437;TRN;LD;Flight Landed
2A3441;QFB;2023-05-27;09:55;2023-05-27;10:12;;T01;DP;Flight Departed;KJR;2023-05-27;10:58;2023-05-27;11:13;;;LD;Flight Landed;2A;3441;TRN;LD;Flight Landed
2A3430;QFB;2023-05-27;10:05;2023-05-27;10:36;;T03;DP;Flight Departed;ZBA;2023-05-27;10:38;2023-05-27;11:04;;;LD;Flight Landed;2A;3430;TRN;LD;Flight Landed
2A3445;QFB;2023-05-27;11:55;2023-05-27;12:11;;T01;DP;Flight Departed;KJR;2023-05-27;12:58;2023-05-27;13:08;;;LD;Flight Landed;2A;3445;TRN;LD;Flight Landed
2A3432;QFB;2023-05-27;12:02;2023-05-27;14:18;;T03;DP;Flight Departed;ZBA;2023-05-27;12:36;2023-05-27;14:37;;;LD;Flight Landed;2A;3432;TRN;LD;Flight Landed
2A3449;QFB;2023-05-27;13:55;2023-05-27;13:55;;T01;DP;Flight Departed;KJR;2023-05-27;14:58;2023-05-27;14:58;;;LD;Flight Landed;2A;3449;TRN;LD;Flight Landed
2A3434;QFB;2023-05-27;14:02;2023-05-27;14:36;;T03;DP;Flight Departed;ZBA;2023-05-27;14:36;2023-05-27;15:12;;;LD;Flight Landed;2A;3434;TRN;LD;Flight Landed
2A3453;QFB;2023-05-27;15:55;2023-05-27;16:04;;T01;DP;Flight Departed;KJR;2023-05-27;16:58;2023-05-27;17:04;;;LD;Flight Landed;2A;3453;TRN;LD;Flight Landed
2A3442;QFB;2023-05-27;16:02;2023-05-27;17:08;;T03;DP;Flight Departed;ZBA;2023-05-27;16:36;2023-05-27;17:34;;;LD;Flight Landed;2A;3442;TRN;LD;Flight Landed
2A3457;QFB;2023-05-27;17:53;2023-05-27;18:01;;T01;DP;Flight Departed;KJR;2023-05-27;18:58;2023-05-27;19:02;;;LD;Flight Landed;2A;3457;TRN;LD;Flight Landed
2A3446;QFB;2023-05-27;18:02;2023-05-27;18:28;;T03;DP;Flight Departed;ZBA;2023-05-27;18:36;2023-05-27;18:59;;;LD;Flight Landed;2A;3446;TRN;LD;Flight Landed
2A3450;QFB;2023-05-27;20:02;2023-05-27;20:49;;T03;DP;Flight Departed;ZBA;2023-05-27;20:36;2023-05-27;21:18;;;LD;Flight Landed;2A;3450;TRN;LD;Flight Landed
2A3454;QFB;2023-05-27;22:08;2023-05-27;22:48;;T03;DP;Flight Departed;ZBA;2023-05-27;22:42;2023-05-27;23:19;;;LD;Flight Landed;2A;3454;TRN;LD;Flight Landed
2A3458;QFB;2023-05-28;00:23;2023-05-28;00:32;;T03;DP;Flight Departed;ZBA;2023-05-28;00:58;2023-05-28;01:02;;;LD;Flight Landed;2A;3458;TRN;LD;Flight Landed
E64618;ARN;2023-05-27;04:40;2023-05-27;04:39;5;;DP;Flight Departed;FAO;2023-05-27;08:10;2023-05-27;07:48;;;LD;Flight Landed;E6;4618;32A;LD;Flight Landed
E64612;ARN;2023-05-27;04:50;2023-05-27;04:52;5;;DP;Flight Departed;PMI;2023-05-27;08:35;2023-05-27;08:35;;;LD;Flight Landed;E6;4612;320;LD;Flight Landed
LH2421;ARN;2023-05-27;06:00;2023-05-27;06:12;5;;DP;Flight Departed;MUC;2023-05-27;08:10;2023-05-27;08:10;2;G40;LD;Flight Landed;LH;2421;32M;LD;Flight Landed
OS318;ARN;2023-05-27;06:30;2023-05-27;06:31;5;;DP;Flight Departed;VIE;2023-05-27;08:40;2023-05-27;08:32;3;F32A;LD;Flight Landed;OS;318;320;LD;Flight Landed
LX1255;ARN;2023-05-27;06:40;2023-05-27;06:48;5;;DP;Flight Departed;ZRH;2023-05-27;09:10;2023-05-27;09:05;;;LD;Flight Landed;LX;1255;320;LD;Flight Landed
EW9217;ARN;2023-05-27;09:15;2023-05-27;09:45;5;;DP;Flight Departed;DUS;2023-05-27;11:20;2023-05-27;11:39;;A42;LD;Flight Landed;EW;9217;32A;LD;Flight Landed
LH801;ARN;2023-05-27;09:50;2023-05-27;11:14;5;;DP;Flight Departed;FRA;2023-05-27;12:00;2023-05-27;13:19;1;Area A;LD;Flight Landed;LH;801;32A;LD;Flight Landed
OS312;ARN;2023-05-27;10:05;2023-05-27;10:25;5;;DP;Flight Departed;VIE;2023-05-27;12:15;2023-05-27;12:22;3;F36A;LD;Flight Landed;OS;312;320;LD;Flight Landed
LH2415;ARN;2023-05-27;11:50;2023-05-27;11:55;5;;DP;Flight Departed;MUC;2023-05-27;14:00;2023-05-27;13:59;2;K01;LD;Flight Landed;LH;2415;32A;LD;Flight Landed
LH803;ARN;2023-05-27;13:15;2023-05-27;13:41;5;;DP;Flight Departed;FRA;2023-05-27;15:25;2023-05-27;15:34;1;BSO;LD;Flight Landed;LH;803;32A;LD;Flight Landed
BT1249;ARN;2023-05-27;13:15;2023-05-27;13:54;5;;DP;Flight Departed;ZRH;2023-05-27;15:45;2023-05-27;16:15;;;LD;Flight Landed;BT;1249;223;LD;Flight Landed
E64640;ARN;2023-05-27;14:20;2023-05-27;14:29;5;;DP;Flight Departed;LCA;2023-05-27;19:35;2023-05-27;19:44;;;LD;Flight Landed;E6;4640;320;LD;Flight Landed
E64616;ARN;2023-05-27;15:05;2023-05-27;15:05;5;;DP;Flight Departed;AGP;2023-05-27;19:35;2023-05-27;19:25;;;LD;Flight Landed;E6;4616;32A;LD;Flight Landed
LH2417;ARN;2023-05-27;15:10;2023-05-27;15:12;5;;DP;Flight Departed;MUC;2023-05-27;17:20;2023-05-27;17:16;2;K21;LD;Flight Landed;LH;2417;321;LD;Flight Landed
OS314;ARN;2023-05-27;15:10;2023-05-27;15:28;5;;DP;Flight Departed;VIE;2023-05-27;17:20;2023-05-27;17:27;3;F26A;LD;Flight Landed;OS;314;320;LD;Flight Landed
LX1251;ARN;2023-05-27;15:55;2023-05-27;17:22;5;;DP;Flight Departed;ZRH;2023-05-27;18:20;2023-05-27;19:38;;;LD;Flight Landed;LX;1251;32N;LD;Flight Landed
LH807;ARN;2023-05-27;16:45;2023-05-27;16:43;5;;DP;Flight Departed;FRA;2023-05-27;18:55;2023-05-27;18:50;1;B09;LD;Flight Landed;LH;807;320;LD;Flight Landed
LH2419;ARN;2023-05-27;17:25;2023-05-27;17:44;5;;DP;Flight Departed;MUC;2023-05-27;19:35;2023-05-27;19:52;2;K01;LD;Flight Landed;LH;2419;32A;LD;Flight Landed
LH805;ARN;2023-05-27;19:00;2023-05-27;19:15;5;;DP;Flight Departed;FRA;2023-05-27;21:10;2023-05-27;21:40;1;B19A;LD;Flight Landed;LH;805;32N;LD;Flight Landed
OS316;ARN;2023-05-27;20:00;2023-05-27;20:28;5;;DP;Flight Departed;VIE;2023-05-27;22:10;2023-05-27;22:29;3;ARS;LD;Flight Landed;OS;316;E95;LD;Flight Landed
LH207;DRS;2023-05-27;06:05;2023-05-27;06:22;;006;DP;Flight Departed;FRA;2023-05-27;07:10;2023-05-27;07:33;1;Area A;LD;Flight Landed;LH;207;32N;LD;Flight Landed
