FlightId;ArrAirportCode;ArrScheduledDate;ArrScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DpStatusDescription;StatusCode;StatusDescription
EW9468;LHR;2023-05-19;07:25;2023-05-19;07:19;2;;LD;Flight Landed;EW;9468;31D;2023-05-19;06:57;;C46;DP;Flight Departed;LD;Flight Landed
LH924;LHR;2023-05-19;07:40;2023-05-19;07:40;2;;LD;Flight Landed;LH;924;32N;2023-05-19;06:59;1;B28;DP;Flight Departed;LD;Flight Landed
LX316;LHR;2023-05-19;07:55;2023-05-19;07:58;2;;LD;Flight Landed;LX;316;32N;2023-05-19;07:10;;;DP;Flight Departed;LD;Flight Landed
EW7464;LHR;2023-05-19;08:05;2023-05-19;08:07;2;;LD;Flight Landed;EW;7464;31D;2023-05-19;07:21;1;B47;DP;Flight Departed;LD;Flight Landed
EW460;LHR;2023-05-19;08:10;2023-05-19;08:18;2;;LD;Flight Landed;EW;460;320;2023-05-19;07:47;1;D82;DP;Flight Departed;LD;Flight Landed
LH2470;LHR;2023-05-19;08:15;2023-05-19;08:15;2;;LD;Flight Landed;LH;2470;32N;2023-05-19;07:10;2;H26;DP;Flight Departed;LD;Flight Landed
LX352;LHR;2023-05-19;08:15;2023-05-19;08:09;2;;LD;Flight Landed;LX;352;223;2023-05-19;07:28;1;;DP;Flight Departed;LD;Flight Landed
OS451;LHR;2023-05-19;08:20;2023-05-19;08:19;2;;LD;Flight Landed;OS;451;32N;2023-05-19;06:52;3;G32;DP;Flight Departed;LD;Flight Landed
EW2462;LHR;2023-05-19;08:25;2023-05-19;08:17;2;;LD;Flight Landed;EW;2462;31D;2023-05-19;07:31;1;125;DP;Flight Departed;LD;Flight Landed
LH900;LHR;2023-05-19;08:40;2023-05-19;08:43;2;;LD;Flight Landed;LH;900;32N;2023-05-19;08:04;1;B24;DP;Flight Departed;LD;Flight Landed
LH902;LHR;2023-05-19;09:40;2023-05-19;09:31;2;;LD;Flight Landed;LH;902;32N;2023-05-19;09:01;1;B47;DP;Flight Departed;LD;Flight Landed
LH2472;LHR;2023-05-19;09:55;2023-05-19;09:43;2;;LD;Flight Landed;LH;2472;32N;2023-05-19;08:53;2;L09;DP;Flight Departed;LD;Flight Landed
SN2093;LHR;2023-05-19;10:15;2023-05-19;10:14;2;;OT;Flight On Time;SN;2093;320;2023-05-19;10:05;;;DP;Flight Departed;OT;Flight On Time
LH904;LHR;2023-05-19;10:40;2023-05-19;10:45;2;;LD;Flight Landed;LH;904;32N;2023-05-19;10:04;1;B25;DP;Flight Departed;LD;Flight Landed
BT318;LHR;2023-05-19;11:25;2023-05-19;11:14;2;;LD;Flight Landed;BT;318;223;2023-05-19;10:30;;;DP;Flight Departed;LD;Flight Landed
EW9466;LHR;2023-05-19;11:30;2023-05-19;11:23;2;;LD;Flight Landed;EW;9466;31D;2023-05-19;11:10;;A72;DP;Flight Departed;LD;Flight Landed
LX332;LHR;2023-05-19;13:00;2023-05-19;14:08;2;;LD;Flight Landed;LX;332;32N;2023-05-19;13:29;;;DP;Flight Departed;LD;Flight Landed
LX354;LHR;2023-05-19;13:40;2023-05-19;13:31;2;;LD;Flight Landed;LX;354;221;2023-05-19;13:02;1;;DP;Flight Departed;LD;Flight Landed
EW2460;LHR;2023-05-19;13:50;2023-05-19;13:38;2;;LD;Flight Landed;EW;2460;320;2023-05-19;13:07;1;123;DP;Flight Departed;LD;Flight Landed
EW464;LHR;2023-05-19;14:05;2023-05-19;13:58;2;;LD;Flight Landed;EW;464;31D;2023-05-19;13:42;1;D82;DP;Flight Departed;LD;Flight Landed
EW7462;LHR;2023-05-19;14:10;2023-05-19;14:35;2;;LD;Flight Landed;EW;7462;31D;2023-05-19;14:10;1;B47;DP;Flight Departed;LD;Flight Landed
OS461;LHR;2023-05-19;14:20;2023-05-19;14:14;2;;LD;Flight Landed;OS;461;320;2023-05-19;12:55;3;G11;DP;Flight Departed;LD;Flight Landed
LH908;LHR;2023-05-19;14:40;2023-05-19;14:42;2;;LD;Flight Landed;LH;908;32N;2023-05-19;14:13;1;B47;DP;Flight Departed;LD;Flight Landed
LH2476;LHR;2023-05-19;15:45;2023-05-19;15:27;2;;LD;Flight Landed;LH;2476;32N;2023-05-19;14:43;2;H30;DP;Flight Departed;LD;Flight Landed
LH910;LHR;2023-05-19;15:40;2023-05-19;15:37;2;;LD;Flight Landed;LH;910;32N;2023-05-19;15:05;1;B20;DP;Flight Departed;LD;Flight Landed
LX324;LHR;2023-05-19;16:20;2023-05-19;16:14;2;;LD;Flight Landed;LX;324;32N;2023-05-19;15:42;;;DP;Flight Departed;LD;Flight Landed
EW9464;LHR;2023-05-19;16:25;2023-05-19;16:25;2;;LD;Flight Landed;EW;9464;31B;2023-05-19;16:03;;A82;DP;Flight Departed;LD;Flight Landed
LX348;LHR;2023-05-19;16:35;2023-05-19;16:21;2;;LD;Flight Landed;LX;348;223;2023-05-19;15:51;1;;DP;Flight Departed;LD;Flight Landed
LH914;LHR;2023-05-19;16:40;2023-05-19;16:30;2;;LD;Flight Landed;LH;914;32N;2023-05-19;15:58;1;B33;DP;Flight Departed;LD;Flight Landed
LH2478;LHR;2023-05-19;17:05;2023-05-19;16:56;2;;LD;Flight Landed;LH;2478;32N;2023-05-19;16:11;2;H44;DP;Flight Departed;LD;Flight Landed
SN2095;LHR;2023-05-19;17:05;2023-05-19;16:54;2;;LD;Flight Landed;SN;2095;320;2023-05-19;16:57;;;DP;Flight Departed;LD;Flight Landed
LX326;LHR;2023-05-19;17:55;2023-05-19;18:17;2;;LD;Flight Landed;LX;326;32N;2023-05-19;17:24;;;DP;Flight Departed;LD;Flight Landed
EW2464;LHR;2023-05-19;18:05;2023-05-19;18:01;2;;LD;Flight Landed;EW;2464;31D;2023-05-19;17:18;1;123;DP;Flight Departed;LD;Flight Landed
LX356;LHR;2023-05-19;18:30;2023-05-19;18:18;2;;LD;Flight Landed;LX;356;223;2023-05-19;17:51;1;;DP;Flight Departed;LD;Flight Landed
LH918;LHR;2023-05-19;18:40;2023-05-19;18:21;2;;LD;Flight Landed;LH;918;32N;2023-05-19;17:57;1;B25;DP;Flight Departed;LD;Flight Landed
OS455;LHR;2023-05-19;18:40;2023-05-19;18:20;2;;LD;Flight Landed;OS;455;32N;2023-05-19;17:13;3;G36;DP;Flight Departed;LD;Flight Landed
EW7460;LHR;2023-05-19;18:45;2023-05-19;19:10;2;;LD;Flight Landed;EW;7460;31D;2023-05-19;18:39;1;B46;DP;Flight Departed;LD;Flight Landed
EW9462;LHR;2023-05-19;18:50;2023-05-19;18:34;2;;LD;Flight Landed;EW;9462;31D;2023-05-19;18:24;;A80;DP;Flight Departed;LD;Flight Landed
