FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
LX345;LHR;2023-05-19;06:00;2023-05-19;05:56;2;A17;DP;Flight Departed;LX;345;32N;2023-05-19;08:30;;;LD;Flight Landed;LD;Flight Landed
OS458;LHR;2023-05-19;06:00;2023-05-19;05:52;2;B42;DP;Flight Departed;OS;458;32N;2023-05-19;08:57;3;G16A;LD;Flight Landed;LD;Flight Landed
LH921;LHR;2023-05-19;06:30;2023-05-19;06:38;2;A26;DP;Flight Departed;LH;921;32N;2023-05-19;09:08;1;B25;LD;Flight Landed;LD;Flight Landed
SN2104;LHR;2023-05-19;06:50;2023-05-19;07:07;2;;DP;Flight Departed;SN;2104;320;2023-05-19;09:00;;;LD;Flight Landed;LD;Flight Landed
LH2483;LHR;2023-05-19;06:55;2023-05-19;06:57;2;A18;DP;Flight Departed;LH;2483;32N;2023-05-19;09:48;2;H20;LD;Flight Landed;LD;Flight Landed
LX359;LHR;2023-05-19;07:00;2023-05-19;07:13;2;A19;DP;Flight Departed;LX;359;223;2023-05-19;09:46;1;;LD;Flight Landed;LD;Flight Landed
LH2485;LHR;2023-05-19;07:25;2023-05-19;07:40;2;A24;DP;Flight Departed;LH;2485;32N;2023-05-19;10:25;2;L10;LD;Flight Landed;LD;Flight Landed
EW9469;LHR;2023-05-19;08:05;2023-05-19;08:08;2;;DP;Flight Departed;EW;9469;31D;2023-05-19;10:13;;A72I;LD;Flight Landed;LD;Flight Landed
LH925;LHR;2023-05-19;08:30;2023-05-19;08:33;2;A26;DP;Flight Departed;LH;925;32N;2023-05-19;11:17;1;Area A;LD;Flight Landed;LD;Flight Landed
LX317;LHR;2023-05-19;08:40;2023-05-19;08:47;2;A25;DP;Flight Departed;LX;317;32N;2023-05-19;11:35;;;LD;Flight Landed;LD;Flight Landed
EW7465;LHR;2023-05-19;08:45;2023-05-19;08:53;2;;DP;Flight Departed;EW;7465;31D;2023-05-19;11:25;1;;LD;Flight Landed;LD;Flight Landed
EW461;LHR;2023-05-19;08:50;2023-05-19;08:57;2;;DP;Flight Departed;EW;461;320;2023-05-19;11:14;1;D99;LD;Flight Landed;LD;Flight Landed
LX353;LHR;2023-05-19;08:55;2023-05-19;09:08;2;A18;DP;Flight Departed;LX;353;223;2023-05-19;11:37;1;;LD;Flight Landed;LD;Flight Landed
LH2471;LHR;2023-05-19;09:00;2023-05-19;09:02;2;A19;DP;Flight Departed;LH;2471;32N;2023-05-19;11:50;2;L08;LD;Flight Landed;LD;Flight Landed
OS452;LHR;2023-05-19;09:05;2023-05-19;09:15;2;A18;DP;Flight Departed;OS;452;32N;2023-05-19;12:19;3;G12A;LD;Flight Landed;LD;Flight Landed
EW2463;LHR;2023-05-19;09:10;2023-05-19;09:15;2;;DP;Flight Departed;EW;2463;31D;2023-05-19;11:46;1;;LD;Flight Landed;LD;Flight Landed
