,Unnamed: 0,AircraftCode,Names,AirlineEquipCode
0,0,100,Fokker 100,F100
1,1,141,BAE Systems 146-100 Passenger,B461
2,2,142,BAE Systems 146-200 Passenger,B462
3,3,143,BAE Systems 146-300 Passenger,B463
4,4,14X,BAE Systems 146-100 Freighter,B461
5,5,14Y,BAE Systems 146-200 Freighter,B462
6,6,14Z,BAE Systems 146-300 Freighter,B463
7,7,221,Airbus A220-100,BCS1
8,8,223,Airbus A220-300,BCS3
9,9,290,E190-E2,E290
10,10,295,E195-E2,E295
11,11,312,Airbus A310-200 Passenger,A310
12,12,313,Airbus A310-300 Passenger,A310
13,13,318,Airbus A318,A318
14,14,319,Airbus A319,A319
15,15,31A,Airbus A318 (sharklets),A318
16,16,31B,Airbus A319 (sharklets),A319
17,17,31N,Airbus A139neo,A19N
18,18,31X,Airbus A310-200 Freighter,A310
19,19,31Y,Airbus A310-300 Freighter,A310
20,20,320,Airbus A320,A320
21,21,321,Airbus A321,A321
22,22,32A,Airbus A320 (sharklets),A320
23,23,32B,Airbus A321 (sharklets),A321
24,24,32F,Airbus A320 Freighter,A320
25,25,32N,Airbus A320neo,A20N
26,26,32Q,Airbus A321neo,A21N
27,27,32X,Airbus A321 Freighter,A321
28,28,332,Airbus A330-200,A332
29,29,333,Airbus A330-300,A333
30,30,33X,Airbus A330-200 Freighter,A332
31,31,342,Airbus A340-200,A342
32,32,343,Airbus A340-300,A343
33,33,345,Airbus A340-500,A345
34,34,346,Airbus A340-600,A346
35,35,351,Airbus A350-1000,ZZZZ
36,36,358,Airbus A350-800,ZZZZ
37,37,359,Airbus A350-900,A359
38,38,388,Airbus A380-800 Passenger,A388
39,39,38F,Airbus A380-800F Freighter,A388
40,40,703,Boeing 707-320B / 320C Passenger,B703
41,41,70F,Boeing 707-320B / 320C Freighter,B703
42,42,70M,Boeing 707-320B / 320C Mixed Configuration,B703
43,43,717,Boeing 717-200,B712
44,44,721,Boeing 727-100 Passenger,B721
45,45,722,Boeing 727-200 Passenger,B722
46,46,72B,Boeing 727-100 Mixed Configuration,B721
47,47,72C,Boeing 727-200 Mixed Configuration,B722
48,48,72W,Boeing 727-200 (winglets) Passenger,B722
49,49,72X,Boeing 727-100 Freighter,B721
50,50,72Y,Boeing 727-200 Freighter,B722
51,51,731,Boeing 737-100 Passenger,B731
52,52,732,Boeing 737-200 Passenger,B732
53,53,733,Boeing 737-300 Passenger,B733
54,54,734,Boeing 737-400 Passenger,B734
55,55,735,Boeing 737-500 Passenger,B735
56,56,736,Boeing 737-600 Passenger,B736
57,57,738,Boeing 737-800 Passenger,B738
58,58,739,Boeing 737-900 Passenger,B739
59,59,73C,Boeing 737-300 (winglets) Passenger,B733
60,60,73E,Boeing 737-500 (winglets) Passenger,B735
61,61,73G,Boeing 737-700 Passenger,B737
62,62,73H,Boeing 737-800 (winglets) Passenger/BBJ2,B738
63,63,73J,Boeing 737-900 (winglets) Passenger/BBJ3,B739
64,64,73L,Boeing 737-200 Mixed Configuration,B732
65,65,73N,Boeing 737-300 Mixed Configuration,B733
66,66,73P,Boeing 737-400 Freighter,B734
67,67,73Q,Boeing 737-400 Mixed Configuration,B734
68,68,73R,Boeing 737-700 Mixed Configuration/BBJC,B737
69,69,73S,Boeing 737-700 Freighter,B737
