,AirportCode,CityCode,CountryCode,LocationType,Names,UtcOffset,TimeZoneId,Latitude,Longitude
0,AAE,AAE,DZ,Airport,Annaba Rabah Bitat,+01:00,Africa/Algiers,36.8222,7.8092
1,AAL,AAL,DK,Airport,Aalborg,+01:00,Europe/Copenhagen,57.0928,9.8492
2,AAQ,AAQ,RU,Airport,Anapa,+03:00,Europe/Moscow,45.0022,37.3472
3,AAR,AAR,DK,Airport,Aarhus Tirstrup,+01:00,Europe/Copenhagen,56.3039,10.6194
4,ABE,ABE,US,Airport,Allentown/Bethlehem,-05:00,America/New_York,40.6522,-75.4408
5,ABI,ABI,US,Airport,Abilene,-06:00,America/Chicago,32.4114,-99.6819
6,ABJ,ABJ,CI,Airport,Abidjan,+00:00,Africa/Abidjan,5.2614,-3.9264
7,ABK,ABK,ET,Airport,Kabri Dar,+03:00,Africa/Addis_Ababa,6.7339,44.2553
8,ABQ,ABQ,US,Airport,Albuquerque,-07:00,America/Denver,35.0406,-106.6094
9,ABS,ABS,EG,Airport,Abu Simbel,+02:00,Africa/Cairo,22.3758,31.6117
10,ABV,ABV,NG,Airport,Abuja,+01:00,Africa/Lagos,9.0067,7.2631
11,ABY,ABY,US,Airport,Albany (US),-05:00,America/New_York,31.5356,-84.1944
12,ABZ,ABZ,GB,Airport,Aberdeen (GB),+00:00,Europe/London,57.2042,-2.2003
13,ACA,ACA,MX,Airport,Acapulco,-06:00,America/Mexico_City,16.7569,-99.7539
14,ACC,ACC,GH,Airport,Accra,+00:00,Africa/Accra,5.6053,-0.1667
15,ACE,ACE,ES,Airport,Lanzarote,+00:00,Atlantic/Canary,28.9456,-13.6053
16,ACT,ACT,US,Airport,Waco,-06:00,America/Chicago,31.6114,-97.2306
17,ACV,ACV,US,Airport,Arcata/Eureka,-08:00,America/Los_Angeles,40.9781,-124.1086
18,ADA,ADA,TR,Airport,Adana,+03:00,Europe/Istanbul,36.9822,35.2803
19,ADB,IZM,TR,Airport,Izmir,+03:00,Europe/Istanbul,38.2925,27.1569
20,ADD,ADD,ET,Airport,Addis Ababa,+03:00,Africa/Addis_Ababa,8.9778,38.7994
21,ADF,ADF,TR,Airport,Adiyaman,+03:00,Europe/Istanbul,37.7314,38.4689
22,ADL,ADL,AU,Airport,Adelaide,+09:30,Australia/Adelaide,-34.945,138.5306
23,ADZ,ADZ,CO,Airport,San Andres Island,-05:00,America/Bogota,12.5836,-81.7111
24,AEP,BUE,AR,Airport,Buenos Aires Aeroparque J. N.,-03:00,America/Argentina/Buenos_Aires,-34.5589,-58.4164
25,AER,AER,RU,Airport,Sochi,+03:00,Europe/Moscow,43.45,39.9567
26,AES,AES,NO,Airport,Aalesund,+01:00,Europe/Oslo,62.5603,6.1103
27,AEX,AEX,US,Airport,Alexandria,-06:00,America/Chicago,31.3275,-92.5497
28,AEY,AEY,IS,Airport,Akureyri,+00:00,Atlantic/Reykjavik,65.6586,-18.0722
29,AGA,AGA,MA,Airport,Agadir,+01:00,Africa/Casablanca,30.325,-9.4131
30,AGH,AGH,SE,Airport,Angelholm/Helsingborg Angelholm Apt,+01:00,Europe/Stockholm,56.2961,12.8472
31,AGP,AGP,ES,Airport,Malaga,+01:00,Europe/Madrid,36.675,-4.4992
32,AGR,AGR,IN,Airport,Agra,+05:30,Asia/Kolkata,27.1558,77.9608
33,AGU,AGU,MX,Airport,Aguascalientes,-06:00,America/Mexico_City,21.7056,-102.3178
34,AGX,AGX,IN,Airport,Agatti Island,+05:30,Asia/Kolkata,10.8236,72.1761
35,AHB,AHB,SA,Airport,Abha,+03:00,Asia/Riyadh,18.2403,42.6567
36,AJI,AJI,TR,Airport,Agri,+03:00,Europe/Istanbul,39.6539,43.0264
37,AJL,AJL,IN,Airport,Aizawl Lengpui,+05:30,Asia/Kolkata,23.8389,92.6203
38,AJR,AJR,SE,Airport,Arvidsjaur,+01:00,Europe/Stockholm,65.5903,19.2819
39,AJU,AJU,BR,Airport,Aracaju,-03:00,America/Araguaina,-10.9839,-37.0703
40,AKJ,AKJ,JP,Airport,Asahikawa,+09:00,Asia/Tokyo,43.6708,142.4475
41,AKL,AKL,NZ,Airport,Auckland,+12:00,Pacific/Auckland,-37.0097,174.7917
42,AKU,AKU,CN,Airport,Aksu,+08:00,Asia/Shanghai,41.2628,80.2919
43,ALA,ALA,KZ,Airport,Almaty,+06:00,Asia/Almaty,43.3533,77.0422
44,ALB,ALB,US,Airport,Albany (US),-05:00,America/New_York,42.7483,-73.8017
45,ALC,ALC,ES,Airport,Alicante,+01:00,Europe/Madrid,38.2822,-0.5581
46,ALF,ALF,NO,Airport,Alta,+01:00,Europe/Oslo,69.9761,23.3717
47,ALG,ALG,DZ,Airport,Algiers,+01:00,Africa/Algiers,36.6942,3.2147
48,ALW,ALW,US,Airport,Walla Walla,-08:00,America/Los_Angeles,46.095,-118.2878
49,AMA,AMA,US,Airport,Amarillo,-06:00,America/Chicago,35.2194,-101.7058
50,AMD,AMD,IN,Airport,Ahmedabad,+05:30,Asia/Kolkata,23.0772,72.6347
51,AMH,AMH,ET,Airport,Arba Mintch,+03:00,Africa/Addis_Ababa,6.0394,37.5906
52,AMI,AMI,ID,Airport,Mataram,+08:00,Asia/Makassar,-8.5608,116.0947
53,AMM,AMM,JO,Airport,Amman,+03:00,Asia/Amman,31.7225,35.9933
54,AMS,AMS,NL,Airport,Amsterdam,+01:00,Europe/Amsterdam,52.3081,4.7642
55,ANC,ANC,US,Airport,Anchorage,-09:00,America/Anchorage,61.1744,-149.9964
56,ANF,ANF,CL,Airport,Antofagasta,-04:00,America/Santiago,-23.4444,-70.445
57,ANU,ANU,AG,Airport,Antigua,-04:00,America/Antigua,17.1367,-61.7928
58,ANX,ANX,NO,Airport,Andenes Andoya,+01:00,Europe/Oslo,69.2925,16.1442
59,AOE,AOE,TR,Airport,Eskisehir Anadolu,+03:00,Europe/Istanbul,39.81,30.5169
60,AOI,AOI,IT,Airport,Ancona,+01:00,Europe/Rome,43.6167,13.3603
61,AOJ,AOJ,JP,Airport,Aomorica,+09:00,Asia/Tokyo,40.7347,140.6908
62,AOK,AOK,GR,Airport,Karpathos,+02:00,Europe/Athens,35.4214,27.1461
63,APL,APL,MZ,Airport,Nampula,+02:00,Africa/Maputo,-15.1056,39.2817
64,APW,APW,WS,Airport,Apia Faleolo Apt,+13:00,Pacific/Apia,-13.8297,-171.9972
65,AQJ,AQJ,JO,Airport,Aqaba King Hussein International,+03:00,Asia/Amman,29.6117,35.0181
66,ARI,ARI,CL,Airport,Arica,-04:00,America/Santiago,-18.3486,-70.3386
67,ARK,ARK,TZ,Airport,Arusha,+03:00,Africa/Dar_es_Salaam,-3.3672,36.625
68,ARN,STO,SE,Airport,Stockholm,+01:00,Europe/Stockholm,59.6519,17.9186
69,ASB,ASB,TM,Airport,Ashgabat,+05:00,Asia/Ashgabat,37.9869,58.3608
70,ASE,ASE,US,Airport,Aspen,-07:00,America/Denver,39.2192,-106.8672
71,ASO,ASO,ET,Airport,Asosa,+03:00,Africa/Addis_Ababa,10.0186,34.5864
72,ASR,ASR,TR,Airport,Kayseri,+03:00,Europe/Istanbul,38.7703,35.4956
73,ASU,ASU,PY,Airport,Asuncion,-04:00,America/Asuncion,-25.2397,-57.5192
74,ASW,ASW,EG,Airport,Aswan,+02:00,Africa/Cairo,23.9644,32.82
75,ATH,ATH,GR,Airport,Athens,+02:00,Europe/Athens,37.9364,23.9444
76,ATL,ATL,US,Airport,Atlanta,-05:00,America/New_York,33.6367,-84.4281
77,ATQ,ATQ,IN,Airport,Amritsar,+05:30,Asia/Kolkata,31.7097,74.7972
78,ATW,ATW,US,Airport,Appleton,-06:00,America/Chicago,44.2667,-88.5167
79,ATZ,ATZ,EG,Airport,Asyut,+02:00,Africa/Cairo,27.0464,31.0119
80,AUH,AUH,AE,Airport,Abu Dhabi,+04:00,Asia/Dubai,24.4331,54.6511
81,AUS,AUS,US,Airport,Austin-Bergstrom,-06:00,America/Chicago,30.1944,-97.67
82,AUW,AUW,US,Airport,Wausau Downtown Apt,-06:00,America/Chicago,44.9283,-89.6267
83,AVL,AVL,US,Airport,Asheville,-05:00,America/New_York,35.4361,-82.5419
84,AVP,AVP,US,Airport,Wilkes-Barre,-05:00,America/New_York,41.3386,-75.7233
85,AWA,AWA,ET,Airport,Awasa,+03:00,Africa/Addis_Ababa,7.0675,38.4906
86,AXD,AXD,GR,Airport,Alexandroupolis,+02:00,Europe/Athens,40.8558,25.9564
87,AXM,AXM,CO,Airport,Armenia,-05:00,America/Bogota,4.4528,-75.7664
88,AXT,AXT,JP,Airport,Akita,+09:00,Asia/Tokyo,39.6156,140.2186
89,AXU,AXU,ET,Airport,Axum,+03:00,Africa/Addis_Ababa,14.1467,38.7728
90,AYT,AYT,TR,Airport,Antalya,+03:00,Europe/Istanbul,36.8986,30.8006
