FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1,CDG,2023-04-22T07:40,FRA,2023-04-22T08:55,1,LH,1051,321,6,2023-04-22,2023-04-22
2,FRA,2023-04-22T13:00,ACE,2023-04-22T16:25,,LH,4382,32A,6,2023-04-22,2023-04-22
3,CDG,2023-04-22T09:35,FRA,2023-04-22T10:50,1,LH,1027,320,6,2023-04-22,2023-04-22
4,CDG,2023-04-22T10:30,FRA,2023-04-22T11:45,1,LH,1029,32A,6,2023-04-22,2023-04-22
5,ZRH,2023-04-22T09:35,FRA,2023-04-22T10:35,1,LH,1185,319,6,2023-04-22,2023-04-22
6,CDG,2023-04-22T17:55,MUC,2023-04-22T19:25,2,LH,2233,320,6,2023-04-22,2023-04-22
7,MUC,2023-04-22T22:05,KEF,2023-04-23T00:10,,LH,2468,32N,6,2023-04-22,2023-04-22
8,CDG,2023-04-22T18:15,FRA,2023-04-22T19:30,1,LH,1041,321,6,2023-04-22,2023-04-22
9,FRA,2023-04-22T21:50,KEF,2023-04-22T23:30,,LH,868,32N,6,2023-04-22,2023-04-22
10,FRA,2023-04-22T14:05,AGP,2023-04-22T17:00,,LH,1150,321,6,2023-04-22,2023-04-22
11,FRA,2023-04-22T20:10,AGP,2023-04-22T23:05,,LH,1116,321,6,2023-04-22,2023-04-22
12,FRA,2023-04-22T14:50,ALC,2023-04-22T17:20,,LH,1174,32N,6,2023-04-22,2023-04-22
13,CDG,2023-04-22T09:00,MUC,2023-04-22T10:30,2,LH,2227,32N,6,2023-04-22,2023-04-29
14,MUC,2023-04-22T14:40,ALC,2023-04-22T17:20,,LH,1848,32A,6,2023-04-22,2023-04-29
15,FRA,2023-04-22T12:40,AMS,2023-04-22T13:50,,LH,992,32A,6,2023-04-22,2023-04-22
16,CDG,2023-04-22T07:40,FRA,2023-04-22T08:55,1,LH,1051,321,67,2023-04-22,2023-04-23
17,FRA,2023-04-22T17:20,AMS,2023-04-22T18:30,,LH,998,32A,67,2023-04-22,2023-04-23
18,MUC,2023-04-22T14:45,AOI,2023-04-22T15:50,,LH,1896,CR9,6,2023-04-22,2023-04-29
19,CDG,2023-04-22T12:10,MUC,2023-04-22T13:40,2,LH,2229,32A,16,2023-04-22,2023-04-24
20,MUC,2023-04-22T14:45,AOI,2023-04-22T15:50,,LH,1896,CR9,16,2023-04-22,2023-04-24
21,ZRH,2023-04-22T09:20,MUC,2023-04-22T10:10,2,LH,2367,CR9,6,2023-04-22,2023-04-22
22,MUC,2023-04-22T14:45,AOI,2023-04-22T15:50,,LH,1896,CR9,6,2023-04-22,2023-04-22
23,ZRH,2023-04-22T13:15,MUC,2023-04-22T14:05,2,LH,2369,CR9,167,2023-04-22,2023-04-29
