DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
VNO;2023-06-01;06:00;2023-06-01;06:13;;A17;DP;Flight Departed;FRA;2023-06-01;07:15;2023-06-01;07:22;1;BSO;LD;Flight Landed;LH;889;32N;LD;Flight Landed
VNO;2023-06-01;13:50;2023-06-01;14:21;;A17;DP;Flight Departed;FRA;2023-06-01;15:05;2023-06-01;15:39;1;A17;LD;Flight Landed;LH;887;321;LD;Flight Landed
QFB;2023-06-01;00:17;2023-06-01;01:07;;T03;DP;Flight Departed;ZBA;2023-06-01;00:50;2023-06-01;01:37;;;LD;Flight Landed;2A;3458;TRN;LD;Flight Landed
QFB;2023-06-01;05:52;2023-06-01;05:55;;T01;DP;Flight Departed;KJR;2023-06-01;06:58;2023-06-01;07:01;;;LD;Flight Landed;2A;3433;TRN;LD;Flight Landed
QFB;2023-06-01;07:53;2023-06-01;07:55;;T01;DP;Flight Departed;KJR;2023-06-01;08:58;2023-06-01;08:58;;;LD;Flight Landed;2A;3437;TRN;LD;Flight Landed
QFB;2023-06-01;09:55;2023-06-01;09:56;;T01;DP;Flight Departed;KJR;2023-06-01;10:58;2023-06-01;11:01;;;LD;Flight Landed;2A;3441;TRN;LD;Flight Landed
QFB;2023-06-01;10:05;2023-06-01;10:28;;T03;DP;Flight Departed;ZBA;2023-06-01;10:38;2023-06-01;10:56;;;LD;Flight Landed;2A;3430;TRN;LD;Flight Landed
QFB;2023-06-01;11:55;2023-06-01;11:58;;T01;DP;Flight Departed;KJR;2023-06-01;12:58;2023-06-01;13:08;;;LD;Flight Landed;2A;3445;TRN;LD;Flight Landed
QFB;2023-06-01;12:02;2023-06-01;12:08;;T03;DP;Flight Departed;ZBA;2023-06-01;12:36;2023-06-01;12:36;;;LD;Flight Landed;2A;3432;TRN;LD;Flight Landed
QFB;2023-06-01;13:55;2023-06-01;14:04;;T01;DP;Flight Departed;KJR;2023-06-01;14:58;2023-06-01;15:03;;;LD;Flight Landed;2A;3449;TRN;LD;Flight Landed
QFB;2023-06-01;14:02;;;;T03;NO;No Status;ZBA;2023-06-01;14:36;;;;;NO;No Status;2A;3434;TRN;CD;Flight Cancelled
QFB;2023-06-01;15:55;2023-06-01;15:57;;T01;DP;Flight Departed;KJR;2023-06-01;16:58;2023-06-01;17:04;;;LD;Flight Landed;2A;3453;TRN;LD;Flight Landed
QFB;2023-06-01;16:02;2023-06-01;16:46;;T03;DP;Flight Departed;ZBA;2023-06-01;16:36;2023-06-01;17:15;;;LD;Flight Landed;2A;3442;TRN;LD;Flight Landed
QFB;2023-06-01;17:53;2023-06-01;18:00;;T01;DP;Flight Departed;KJR;2023-06-01;18:58;2023-06-01;19:02;;;LD;Flight Landed;2A;3457;TRN;LD;Flight Landed
QFB;2023-06-01;18:02;2023-06-01;19:37;;T03;DP;Flight Departed;ZBA;2023-06-01;18:36;2023-06-01;19:47;;;LD;Flight Landed;2A;3446;TRN;LD;Flight Landed
QFB;2023-06-01;20:02;2023-06-01;20:07;;T03;DP;Flight Departed;ZBA;2023-06-01;20:36;2023-06-01;20:36;;;LD;Flight Landed;2A;3450;TRN;LD;Flight Landed
QFB;2023-06-01;22:08;2023-06-01;22:08;;T03;DP;Flight Departed;ZBA;2023-06-01;22:42;2023-06-01;22:41;;;LD;Flight Landed;2A;3454;TRN;LD;Flight Landed
QFB;2023-06-02;00:17;2023-06-02;01:25;;T03;DP;Flight Departed;ZBA;2023-06-02;00:50;2023-06-02;01:53;;;LD;Flight Landed;2A;3458;TRN;LD;Flight Landed
ARN;2023-06-01;06:00;2023-06-01;06:00;5;;DP;Flight Departed;MUC;2023-06-01;08:10;2023-06-01;08:05;2;K05;LD;Flight Landed;LH;2421;32N;LD;Flight Landed
ARN;2023-06-01;06:05;2023-06-01;06:06;5;;DP;Flight Departed;FCO;2023-06-01;09:15;2023-06-01;09:03;1;A04;LD;Flight Landed;E6;4650;32A;LD;Flight Landed
ARN;2023-06-01;06:20;2023-06-01;06:49;5;;DP;Flight Departed;FRA;2023-06-01;08:30;2023-06-01;08:49;1;A16;LD;Flight Landed;LH;809;321;LD;Flight Landed
ARN;2023-06-01;06:30;2023-06-01;06:33;5;;DP;Flight Departed;VIE;2023-06-01;08:40;2023-06-01;08:33;3;ARS;LD;Flight Landed;OS;318;320;LD;Flight Landed
ARN;2023-06-01;06:40;2023-06-01;06:49;5;;DP;Flight Departed;ZRH;2023-06-01;09:10;2023-06-01;08:55;;;LD;Flight Landed;LX;1255;320;LD;Flight Landed
ARN;2023-06-01;07:10;2023-06-01;07:46;5;;DP;Flight Departed;FRA;2023-06-01;09:20;2023-06-01;09:56;1;Area A;LD;Flight Landed;LH;845;319;LD;Flight Landed
ARN;2023-06-01;07:20;2023-06-01;07:22;5;;DP;Flight Departed;AGP;2023-06-01;11:50;2023-06-01;11:37;;;LD;Flight Landed;E6;4616;320;LD;Flight Landed
ARN;2023-06-01;08:50;2023-06-01;08:52;5;;DP;Flight Departed;MUC;2023-06-01;11:00;2023-06-01;10:54;2;G81;LD;Flight Landed;CL;2413;CR9;LD;Flight Landed
ARN;2023-06-01;09:50;2023-06-01;10:22;5;;DP;Flight Departed;FRA;2023-06-01;12:00;2023-06-01;12:33;1;Area A;LD;Flight Landed;LH;801;32N;LD;Flight Landed
ARN;2023-06-01;10:05;2023-06-01;10:10;5;;DP;Flight Departed;DUS;2023-06-01;12:10;2023-06-01;12:06;;A42;LD;Flight Landed;EW;9217;31D;LD;Flight Landed
ARN;2023-06-01;10:05;2023-06-01;10:09;5;;DP;Flight Departed;VIE;2023-06-01;12:15;2023-06-01;12:07;3;ARS;LD;Flight Landed;OS;312;E95;LD;Flight Landed
ARN;2023-06-01;11:50;2023-06-01;11:57;5;;DP;Flight Departed;MUC;2023-06-01;14:00;2023-06-01;14:03;2;T02S;LD;Flight Landed;LH;2415;32V;LD;Flight Landed
ARN;2023-06-01;13:15;2023-06-01;14:13;5;;DP;Flight Departed;FRA;2023-06-01;15:25;2023-06-01;16:16;1;A14;LD;Flight Landed;LH;803;321;LD;Flight Landed
ARN;2023-06-01;13:15;2023-06-01;13:33;5;;DP;Flight Departed;ZRH;2023-06-01;15:45;2023-06-01;15:50;;;LD;Flight Landed;LX;1249;32N;LD;Flight Landed
ARN;2023-06-01;15:10;2023-06-01;15:18;5;;DP;Flight Departed;MUC;2023-06-01;17:20;2023-06-01;17:25;2;K09;LD;Flight Landed;LH;2417;32N;LD;Flight Landed
