DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-05-31;07:39;2023-05-31;07:43;;T09;DP;Flight Departed;QKL;2023-05-31;08:16;2023-05-31;08:16;;;LD;Flight Landed;2A;3531;TRN;LD;Flight Landed
XHJ;2023-05-31;09:39;2023-05-31;09:45;;T09;DP;Flight Departed;QKL;2023-05-31;10:15;2023-05-31;10:17;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-05-31;11:39;2023-05-31;11:44;;T09;DP;Flight Departed;QKL;2023-05-31;12:15;2023-05-31;12:17;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-05-31;13:39;2023-05-31;13:48;;T09;DP;Flight Departed;QKL;2023-05-31;14:15;2023-05-31;14:23;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-05-31;15:39;2023-05-31;16:05;;T09;DP;Flight Departed;QKL;2023-05-31;16:15;2023-05-31;16:39;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-05-31;17:39;2023-05-31;17:45;;T09;DP;Flight Departed;QKL;2023-05-31;18:15;2023-05-31;18:20;;;LD;Flight Landed;2A;3541;TRN;LD;Flight Landed
XHJ;2023-05-31;19:39;2023-05-31;19:48;;T09;DP;Flight Departed;QKL;2023-05-31;20:15;2023-05-31;20:22;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-05-31;06:40;2023-05-31;06:56;;;DP;Flight Departed;FRA;2023-05-31;07:45;2023-05-31;07:56;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
INN;2023-05-31;08:25;2023-05-31;08:15;;001;DP;Flight Departed;VIE;2023-05-31;09:25;2023-05-31;09:11;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-05-31;13:25;2023-05-31;13:35;;;DP;Flight Departed;KGS;2023-05-31;16:55;2023-05-31;17:02;;;LD;Flight Landed;E6;5638;31D;LD;Flight Landed
INN;2023-05-31;14:45;2023-05-31;14:44;;;DP;Flight Departed;FRA;2023-05-31;15:50;2023-05-31;15:46;1;BSO;LD;Flight Landed;EN;8053;E95;LD;Flight Landed
INN;2023-05-31;16:45;2023-05-31;16:36;;;DP;Flight Departed;PMI;2023-05-31;18:45;2023-05-31;18:28;;;LD;Flight Landed;E6;5648;31D;LD;Flight Landed
INN;2023-05-31;18:30;2023-05-31;18:31;;;DP;Flight Departed;FRA;2023-05-31;19:35;2023-05-31;19:31;1;BSO;LD;Flight Landed;EN;8055;E95;LD;Flight Landed
INN;2023-05-31;18:50;2023-05-31;18:43;;001;DP;Flight Departed;VIE;2023-05-31;19:50;2023-05-31;19:35;3;ARS;LD;Flight Landed;OS;902;E95;LD;Flight Landed
SZG;2023-05-31;06:10;2023-05-31;06:03;;;DP;Flight Departed;KGS;2023-05-31;09:35;2023-05-31;09:24;;;LD;Flight Landed;E6;4382;31D;LD;Flight Landed
