FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LX345;LHR;2023-05-18;06:00;2023-05-18;06:02;2;B46;DP;Flight Departed;ZRH;2023-05-18;08:40;2023-05-18;08:39;;;LD;Flight Landed;LX;345;32Q;LD;Flight Landed
OS458;LHR;2023-05-18;06:00;2023-05-18;05:56;2;B46;DP;Flight Departed;VIE;2023-05-18;09:10;2023-05-18;09:01;3;G04A;LD;Flight Landed;OS;458;32N;LD;Flight Landed
LH921;LHR;2023-05-18;06:30;2023-05-18;06:36;2;B37;DP;Flight Departed;FRA;2023-05-18;09:05;2023-05-18;08:59;1;Area A;LD;Flight Landed;LH;921;32N;LD;Flight Landed
SN2104;LHR;2023-05-18;06:50;2023-05-18;07:06;2;;DP;Flight Departed;BRU;2023-05-18;08:50;2023-05-18;09:06;;;LD;Flight Landed;SN;2104;320;LD;Flight Landed
LH2483;LHR;2023-05-18;06:55;2023-05-18;06:55;2;A26;DP;Flight Departed;MUC;2023-05-18;09:45;2023-05-18;09:37;2;L08;LD;Flight Landed;LH;2483;32N;LD;Flight Landed
LX359;LHR;2023-05-18;07:00;2023-05-18;07:22;2;A19;DP;Flight Departed;GVA;2023-05-18;09:35;2023-05-18;10:02;1;;LD;Flight Landed;LX;359;223;LD;Flight Landed
LH2485;LHR;2023-05-18;07:25;2023-05-18;07:47;2;A16;DP;Flight Departed;MUC;2023-05-18;10:15;2023-05-18;10:25;2;L04;LD;Flight Landed;LH;2485;32N;LD;Flight Landed
BT9469;LHR;2023-05-18;08:05;2023-05-18;08:28;2;;DP;Flight Departed;DUS;2023-05-18;10:25;2023-05-18;10:39;;A72I;LD;Flight Landed;BT;9469;223;LD;Flight Landed
LX317;LHR;2023-05-18;08:40;2023-05-18;08:52;2;A24;DP;Flight Departed;ZRH;2023-05-18;11:35;2023-05-18;11:52;;;LD;Flight Landed;LX;317;32N;LD;Flight Landed
EW7465;LHR;2023-05-18;08:45;2023-05-18;09:02;2;;DP;Flight Departed;HAM;2023-05-18;11:15;2023-05-18;11:29;1;;LD;Flight Landed;EW;7465;31D;LD;Flight Landed
EW461;LHR;2023-05-18;08:50;2023-05-18;08:56;2;;DP;Flight Departed;CGN;2023-05-18;11:10;2023-05-18;11:13;1;D10;LD;Flight Landed;EW;461;31D;LD;Flight Landed
LX353;LHR;2023-05-18;08:55;2023-05-18;09:14;2;A26;DP;Flight Departed;GVA;2023-05-18;11:30;2023-05-18;11:44;1;;LD;Flight Landed;LX;353;223;LD;Flight Landed
LH2471;LHR;2023-05-18;09:00;2023-05-18;09:09;2;A17;DP;Flight Departed;MUC;2023-05-18;11:50;2023-05-18;11:56;2;L03;LD;Flight Landed;LH;2471;32N;LD;Flight Landed
OS452;LHR;2023-05-18;09:05;2023-05-18;09:18;2;A19;DP;Flight Departed;VIE;2023-05-18;12:20;2023-05-18;12:47;3;G17A;LD;Flight Landed;OS;452;32N;LD;Flight Landed
EW2463;LHR;2023-05-18;09:10;2023-05-18;09:26;2;;DP;Flight Departed;STR;2023-05-18;11:45;2023-05-18;11:52;1;;LD;Flight Landed;EW;2463;31D;LD;Flight Landed
LH901;LHR;2023-05-18;09:30;2023-05-18;09:46;2;A18;DP;Flight Departed;FRA;2023-05-18;12:05;2023-05-18;12:24;1;B47;LD;Flight Landed;LH;901;32N;LD;Flight Landed
LH903;LHR;2023-05-18;10:30;2023-05-18;10:53;2;A23;DP;Flight Departed;FRA;2023-05-18;13:05;2023-05-18;13:19;1;B24;LD;Flight Landed;LH;903;32N;LD;Flight Landed
LH2473;LHR;2023-05-18;10:50;2023-05-18;10:51;2;A19;DP;Flight Departed;MUC;2023-05-18;13:40;2023-05-18;13:36;2;H34;LD;Flight Landed;LH;2473;32N;LD;Flight Landed
SN2094;LHR;2023-05-18;11:05;2023-05-18;12:38;2;;DP;Flight Departed;BRU;2023-05-18;13:10;2023-05-18;14:44;;;LD;Flight Landed;SN;2094;320;LD;Flight Landed
